,id,name,crossed,geometry,geometry_updated
132,08f283411019ba5d0319076a0b3abdc3,Mission Linen and Uniform Service,['footway'],POINT (-122.0487810000000053 36.9576849999999979),POINT (-122.0487164999999976 36.9577506999999912)
133,08f283411019c65c0390f0cbb1614057,Studio Holladay Weddings,[],POINT (-122.0490240000000028 36.9566999999999979),POINT (-122.0490239999999744 36.9566999999999979)
134,08f283411019c87103c6373025fb2bc0,Garth Taylor Jiu Jitsu,[],POINT (-122.0492219000000063 36.9564135999999976),POINT (-122.0492208571609183 36.9564070764678618)
135,08f28341101a3a2e0385ea0f9ce83532,Iveta Westside,[],POINT (-122.0502335999999985 36.9549544999999995),POINT (-122.0502335999999843 36.9549544999999924)
136,08f28341101a6765039835ecc0a8a917,Westside Parent Education Nursery School,[],POINT (-122.0494920000000008 36.9544640000000015),POINT (-122.0498540999999904 36.9542766000000000)
137,08f28341101aa76e03d681a39e274f8c,UCSC Institute of the Arts and Sciences,[],POINT (-122.0505567999999954 36.9557902000000027),POINT (-122.0505568000000096 36.9557902000000098)
138,08f28341101aa78003adbc1db6f87ddc,Rainbow Light Nutritional Systems,[],POINT (-122.0503999999999962 36.9558120000000017),POINT (-122.0503999999999962 36.9558119999999946)
139,08f28341101accd1036add1629ab6370,Hunter Designs,[],POINT (-122.0509605000000022 36.9548935999999983),POINT (-122.0509605000000164 36.9548935999999912)
140,08f28341101ae99303eecff040ee6acb,Luminous Healing Center,[],POINT (-122.0504755000000046 36.9550302999999971),POINT (-122.0504754999999761 36.9550302999999971)
141,08f28341101aed5c03b54fa97876c9c0,Cafe Iveta,[],POINT (-122.0504194699999942 36.9550664300000022),POINT (-122.0504194699999942 36.9550664300000022)
142,08f28341101b0252038752e7ff00159e,Cen-Con,[],POINT (-122.0486740999999995 36.9550575000000023),POINT (-122.0486741000000137 36.9550574999999952)
143,08f28341101b390303ff5be77adab140,Santa Cruz Board Builders Guild,[],POINT (-122.0485780000000062 36.9551280000000020),POINT (-122.0486177418041507 36.9551242964700535)
144,08f28341101b404b038f0f86b2b49986,WPENS - Westside Parent Education Nursery School - Preschool,[],POINT (-122.0485677000000067 36.9544866000000027),POINT (-122.0485677000000067 36.9544865999999956)
145,08f28341101b40d403a4243f7c23e2e6,Natural Bridges High School,[],POINT (-122.0485714999999942 36.9546726000000021),POINT (-122.0486446193076375 36.9546648934767958)
146,08f28341102a1c2203f7858d4cbca7cf,The Hilltop,['service'],POINT (-122.0576513999999975 36.9636223999999984),POINT (-122.0576483502223226 36.9637282160817975)
147,08f28341102a365803ae8884bd3b3e7a,Hilltop Apartments,[],POINT (-122.0574933999999985 36.9643749999999969),POINT (-122.0574933999999985 36.9643749999999969)
148,08f28341102a4213030c90578640dc2f,UC-Santa Cruz Tennis Courts,[],POINT (-122.0575519000000071 36.9633759999999967),POINT (-122.0575519000000071 36.9633760000000038)
149,08f28341102b2c00033199ac82dc300a,Medical Research Assoc,[],POINT (-122.0551269999999988 36.9640270000000015),POINT (-122.0551270000000130 36.9640270000000015)
150,08f283411030247603c471bf12439ef4,Tinderbox Recording Studio,[],POINT (-122.0597769999999969 36.9604700000000008),POINT (-122.0597769999999969 36.9604700000000008)
151,08f2834110310791038e0f617f9b4d4c,"WW ""Formerly Weight Watchers""",[],POINT (-122.0586100000000016 36.9602999999999966),POINT (-122.0586668999999915 36.9602533999999991)
152,08f2834110310c5503427adf2644fb93,Fairfield Inn by Marriott Santa Cruz CA,[],POINT (-122.0588932000000000 36.9600312999999971),POINT (-122.0588931865559346 36.9600313003591481)
153,08f2834110311a4003256e3ca97df4ba,PCS Instrumental Music,[],POINT (-122.0595200000000062 36.9603600000000014),POINT (-122.0595276252352193 36.9603599072876108)
154,08f2834110311a460395901d81a38f45,Pacific Collegiate School,[],POINT (-122.0595821000000001 36.9604780000000019),POINT (-122.0596332120055081 36.9604775692785950)
155,08f283411032160a0392bdd3551cbb09,Swan Lake,[],POINT (-122.0611899999999963 36.9589539999999985),POINT (-122.0611899999999821 36.9589539999999985)
156,08f283411032e33403b9fe95962f02ab,Moore Creek Preserve,['service'],POINT (-122.0613359000000031 36.9593141000000003),POINT (-122.0613043999999690 36.9594047999999944)
157,08f283411032e96c03486ce80767cefd,Pacific Shores,[],POINT (-122.0613203999999996 36.9591355000000021),POINT (-122.0613204000000138 36.9591355000000021)
158,08f283411033288003eba1f754adc9da,Infinite Motion Coaching - Personal Training,[],POINT (-122.0587040000000059 36.9590990000000019),POINT (-122.0587040000000059 36.9590989999999948)
159,08f2834110332c650322ad034713353f,Toadal Fitness West Side,[],POINT (-122.0583974999999981 36.9592485000000011),POINT (-122.0583974999999697 36.9592484999999940)
160,08f2834110350d3403ecbc6d504721a7,Coast Dairies State Park,[],POINT (-122.0624724999999984 36.9607896999999994),POINT (-122.0624725000000126 36.9607896999999994)
161,08f28341103a091c030cb3cecf164fea,Walkabout Harnesses,['service'],POINT (-122.0554948000000053 36.9596816999999973),POINT (-122.0554866999999888 36.9595881999999989)
